numero,codiceQuiz,testo
1,101,Cosa è il 'bluff' nel poker?
2,101,Cosa è l''all-in' nel poker?
3,101,Cosa è il 'Texas Hold'em'?
4,101,Cosa è la 'posizione' nel poker?
1,102,Cosa è la 'punta' nella danza classica?
2,102,Cosa è la 'prima ballerina assoluta'?
3,102,Chi è Isadora Duncan?
4,102,Cosa è l'arabesque nella danza classica?
5,102,Quale balletto di Tchaikovsky racconta la storia di una principessa trasformata in cigno?
1,103,Quale drammaturgo norvegese scrisse 'Casa di bambola'?
2,103,Cosa è il 'quarto muro' nel teatro?
1,104,Cosa è il 'nouveau cirque'?
2,104,Cosa è la 'commedia fisica' nelle arti performative?
3,104,Cosa è il giocolaggio?
4,104,Cosa è l'acrobatica aerea?
1,105,Chi guidò la spedizione dei Diecimila descritta nella Anabasi?
2,105,Quale città-stato greca era nota per il suo sistema militare e l'addestramento spartano?
3,105,Quale sistema politico fu inventato ad Atene nel V secolo a.C.?
4,105,Quale monumento è considerato il simbolo dell'Acropoli di Atene?
1,106,Quale gruppo funzionale caratterizza un alcol?
2,106,Cosa sono gli isomeri?
3,106,Qual è il monomero del polietilene?
1,107,Qual è l'unità di misura della forza nel SI?
2,107,La resistenza dell'aria è un esempio di forza?
3,107,Cosa misura la quantità di moto?
4,107,La legge di gravitazione universale di Newton lega la forza a?
1,108,Quale romanzo di Alberto Moravia analizza la borghesia romana?
2,108,Chi è l'autore di '1984'?
1,109,"Nella capitalizzazione composta, gli interessi maturati vengono?"
2,109,Cosa misura la duration di un'obbligazione?
3,109,Il TIR (Tasso Interno di Rendimento) è il tasso che rende il VAN pari a?
4,109,Cosa si intende per 'ammortamento' di un debito?
1,110,Cosa sono i ribosomi?
2,110,Quale processo permette alle cellule di duplicarsi?
1,111,La catena montuosa delle Alpi separa principalmente quali paesi?
2,111,Quale isola europea è la più grande del Mediterraneo?
3,111,Quale paese non fa parte dell'Unione Europea?
1,112,Cosa è una nebulosa?
2,112,Cosa sono le stelle di neutroni?
3,112,Quante galassie si stima contenga l'universo osservabile?
4,112,Quale pianeta è noto per i suoi anelli?
1,113,Come si dice 'acqua' in spagnolo?
2,113,Quale documento italiano è considerato la prima attestazione scritta in volgare?
3,113,Quale trasformazione fonetica distingue l'italiano dal latino?
1,114,Cosa sono i codici miniati medievali?
2,114,Quale tecnica pittorica era la più comune nell'arte medievale?
1,115,Chi diresse 'Ladri di biciclette'?
2,115,Quale film di Andrei Tarkovsky è ambientato in una zona mistica?
3,115,A quale movimento cinematografico appartiene la Nouvelle Vague?
4,115,Quale film di Ingmar Bergman è ambientato in una lunga notte estiva svedese?
1,116,Qual è il dolce tipico della Campania consumato a Natale?
2,116,In quale regione italiana si produce il Parmigiano Reggiano DOP?
3,116,Da cosa è fatto il prosciutto di Parma DOP?
4,116,Quale pesce è protagonista della 'brodetto' marchigiana?
1,117,Quale linguaggio di markup viene usato per creare pagine web?
1,118,Cosa sono i diritti inviolabili dell'uomo sanciti dalla Costituzione?
2,118,In quanti articoli è composta la Costituzione italiana?
3,118,Quale principio fondamentale sancisce l'articolo 1 della Costituzione italiana?
4,118,Come viene eletto il Presidente della Repubblica in Italia?
5,118,Cos'è il bicameralismo perfetto vigente in Italia?
1,119,Cos'è il cash flow operativo?
1,120,Chi compose 'Le quattro stagioni'?
2,120,Chi è l'autore del 'Clavicembalo ben temperato'?
3,120,Chi compose la Quinta Sinfonia in Do minore?
4,120,Quale opera di Puccini si svolge in Giappone?
1,121,Cosa studia l'etica nella filosofia greca?
2,121,Cosa significa il termine 'catarsi' nella filosofia di Aristotele?
3,121,Chi fu il maestro di Platone?
4,121,Cosa sosteneva la scuola atomista di Democrito?
1,122,Quale struttura connette muscolo e osso?
2,122,Quante vertebre ha la colonna vertebrale umana?
3,122,Il cuore umano ha quante camere?
4,122,Qual è l'osso più lungo del corpo umano?
5,122,Quale organo produce l'insulina?
1,123,Cosa si intende con 'specie invasiva'?
2,123,Quale gas è il principale responsabile dell'effetto serra antropogenico?
1,124,Quante discipline sportive erano presenti alle Olimpiadi di Parigi 2024?
2,124,Chi detiene il record mondiale nei 100 metri piani maschili?
3,124,In quale città si sono svolte le Olimpiadi estive del 2020 (posticipate al 2021)?
1,125,Il modello di elaborazione dell'informazione paragona la mente a?
2,125,Cosa è la memoria di lavoro?
1,126,La 'Scuola di Chicago' è famosa per i suoi studi su?
2,126,Cosa studia la 'segregazione urbana'?
3,126,Cosa descrive il concetto di 'gentrificazione'?
1,127,Cosa caratterizza l'Umanesimo rinascimentale?
2,127,In quale città italiana nacque il Rinascimento nel XIV-XV secolo?
3,127,Chi dipinse 'La Primavera' e 'La nascita di Venere'?
1,128,In quale anno fu pubblicato 'Ulisse' di James Joyce?
2,128,A quale epoca appartiene William Shakespeare?
3,128,Chi scrisse 'Orgoglio e pregiudizio'?
1,129,Quante permutazioni esistono di n elementi distinti?
2,129,Cosa è un grafo in matematica discreta?
3,129,Cosa è la complessità computazionale O(n log n)?
4,129,Cosa afferma il Teorema dei Quattro Colori?
1,130,Cosa fa il protocollo DHCP?
2,130,Qual è la differenza tra TCP e UDP?
1,131,Qual è la complessità temporale della ricerca binaria nel caso peggiore?
2,131,Cosa calcola l'algoritmo di Dijkstra?
3,131,Quale algoritmo di ordinamento ha complessità O(n log n) nel caso medio?
4,131,Cosa è una tabella hash?
5,131,Cosa è un albero binario di ricerca (BST)?
1,132,Cosa è un KPI nel marketing digitale?
2,132,Cosa è il 'content marketing'?
3,132,Cosa significa SEO?
1,133,Cosa è il lean management?
2,133,Cosa è il management per obiettivi (MBO)?
3,133,Cosa è il business plan?
4,133,Cosa analizza la SWOT analysis?
1,134,"Quale movimento artistico italiano glorificava la velocità, la macchina e la guerra?"
2,134,Chi è il fondatore della Pop Art americana?
3,134,A quale movimento appartiene Mondrian con i suoi quadri di linee nere e colori primari?
4,134,Cosa è l'Arte Astratta?
5,134,Quale movimento artistico nasce come reazione all'Impressionismo e include Cézanne e Van Gogh?
1,135,Cosa è l'entanglement quantistico?
2,135,Chi formulò il principio di indeterminazione?
3,135,Cosa è la sovrapposizione quantistica?
4,135,Cosa è la costante di Planck?
1,136,Quale metallo è liquido a temperatura ambiente?
2,136,Cosa è un legame ionico?
3,136,Qual è il simbolo chimico dell'oro?
1,137,Cosa è la barriera corallina?
2,137,Come si chiama il processo per cui alcune piante marine producono ossigeno?
3,137,Cos'è il plancton?
1,138,Come si chiamano le rocce formatesi da depositi di sedimenti compattati?
2,138,Quale tipo di roccia si forma dal raffreddamento del magma?
3,138,Cosa è la lava?
1,139,Quale tipo di nube è associata ai temporali?
2,139,Come si chiama il vento caldo e secco che soffia dal Sahara verso il Mediterraneo?
3,139,Cosa è il jet stream?
1,140,Quale dialetto italiano ha influenzato maggiormente la lingua standard?
2,140,Cosa è la sintassi?
3,140,Cosa è un morfema?
1,141,Cosa è la crittografia RSA?
2,141,Qual è la base del sistema binario?
3,141,Cosa è la funzione hash in crittografia?
4,141,Cosa è la crittografia simmetrica?
1,142,Chi era il dio romano della guerra?
2,142,Chi era Ulisse (Odisseo) nella mitologia greca?
1,143,Chi guidò la Prima Crociata?
2,143,Quando convenzionalmente inizia il Medioevo?
3,143,Cosa è la Magna Carta?
4,143,Quale imperatore fu incoronato da Papa Leone III nell'800 d.C.?
1,144,Quale paese asiatico è noto per la produzione di Kimono?
2,144,Chi è il fondatore del Buddhismo?
3,144,Quale città è la capitale della Cina?
1,145,Quale premio Nobel per la Letteratura fu assegnato a Boris Pasternak (e da lui rifiutato)?
1,146,Cosa è il PIL (Prodotto Interno Lordo)?
2,146,Cosa è l'economia di scala?
3,146,Quale organizzazione internazionale supervisiona il commercio mondiale?
4,146,Cosa è la globalizzazione economica?
1,147,Quale animale è il più grande vivente sulla Terra?
2,147,Cosa è la mimetizzazione negli animali?
3,147,A quale ordine appartengono i pipistrelli?
1,148,Qual è la funzione principale della clorofilla nelle piante?
2,148,Cosa sono le gimnosperme?
1,149,Cosa è un agonista farmacologico?
2,149,Cosa è un effetto collaterale di un farmaco?
3,149,Cosa è il metabolismo di primo passaggio epatico?
4,149,Cosa è la farmacocinetica?
1,150,Cosa è la Convenzione di Ginevra?
2,150,Cosa è la sovranità statale?
3,150,Cosa è il diritto consuetudinario internazionale?
4,150,Cosa è la Corte Penale Internazionale (CPI)?
1,151,Chi inventò il telefono nel 1876?
2,151,Chi è considerato il padre dell'informatica moderna?
3,151,Chi inventò la macchina a vapore moderna nel XVIII secolo?
1,152,Chi coniò il termine 'robot' nel 1920?
2,152,Quali sono le Tre Leggi della Robotica di Asimov?
3,152,Cosa è un robot collaborativo (cobot)?
4,152,Cosa è l'attuatore in un robot?
5,152,Cosa è un robot industriale?
1,153,Cosa è il deep learning?
2,153,Cosa è il reinforcement learning?
3,153,Cosa è l'apprendimento automatico (machine learning)?
4,153,Cosa è una rete neurale artificiale?
1,154,Cosa è un albero decisionale?
2,154,Cosa è la classificazione nel machine learning?
3,154,Cosa è il gradient descent?
1,155,Cosa è la correlazione di Pearson?
2,155,Cosa è l'analisi della varianza (ANOVA)?
1,156,Cosa afferma il Teorema Fondamentale del Calcolo?
2,156,Quale metodo numerico approssima un integrale dividendo l'intervallo in trapezi?
1,157,Cosa è uno spazio metrico?
2,157,Cosa studia la teoria dei nodi in topologia?
3,157,Cosa è un omeomorfismo in topologia?
1,158,Cosa è l'equilibrio di Nash?
2,158,Cosa è un gioco a somma zero?
3,158,Cosa è la strategia dominante in un gioco?
1,159,Chi scrisse la 'Critica della Ragion Pura'?
2,159,Cosa è il nichilismo in filosofia?
1,160,Chi è il filosofo associato al falsificazionismo come criterio di scientificità?
2,160,Cosa studia l'epistemologia?
1,161,Cosa è l'imperativo categorico di Kant?
2,161,Cosa è il relativismo morale?
3,161,Cosa è l'utilitarismo?
1,162,Cosa è il panteismo?
2,162,Cosa è il monoteismo?
1,163,Quale civiltà costruì la città di Troia?
2,163,Dove si trova la celebre statua greca del Discobolo?
3,163,Cosa è lo stile corinzio nell'architettura greca?
1,164,Cosa è il dritto di una moneta?
2,164,Cosa è la zecca?
1,165,Chi è Chrétien de Troyes?
2,165,Quale testo italiano del XIII secolo rappresenta la prima grande opera in volgare?
3,165,Cosa studia la filologia romanza?
1,166,Cosa è il 'cursus honorum' romano?
1,167,In quale anno scoppiò la Prima Guerra Mondiale?
2,167,Quale accordo pose fine alla Prima Guerra Mondiale?
3,167,Cosa è la guerra di trincea?
4,167,Cosa è la 'Strafexpedition' del 1916?
1,168,Quale evento portò gli USA a entrare nella Seconda Guerra Mondiale?
2,168,In quale data avvenne lo sbarco in Normandia (D-Day)?
3,168,Cosa è la Resistenza italiana?
4,168,In quale anno iniziò la Seconda Guerra Mondiale?
1,169,Cosa è il G20?
2,169,Cosa si intende per 'stato fallito'?
3,169,Cosa è il concetto di 'soft power'?
4,169,Cosa è la diplomazia della 'gunboat policy'?
1,170,Cosa è la deterrenza nucleare?
2,170,Cosa è la globalizzazione nelle RI?
3,170,Cosa è il 'balance of power'?
1,171,Quale imperatore cinese unificò la Cina e costruì la Grande Muraglia?
2,171,Quale paese asiatico fu la prima potenza ad industrializzarsi?
3,171,Chi fu il fondatore dell'Impero Mongolo?
1,172,Chi fu il primo presidente della Namibia post-indipendenza?
2,172,Quale lingua africana ha il maggior numero di parlanti nativi?
3,172,Quale civiltà africana antica costruì le piramidi di Giza?
4,172,Cosa è il 'griot' nelle culture dell'Africa occidentale?
1,173,In quale città americana nacque il jazz?
2,173,Cosa è lo 'scat singing'?
1,174,Cosa è l'aria nell'opera lirica?
2,174,Chi compose il 'Barbiere di Siviglia'?
1,175,In quale anno i Beatles si sciolsero?
2,175,Chi è Jimi Hendrix?
1,176,"Chi dipinse 'Impressione, levar del sole' che diede nome al movimento?"
2,176,In quale paese nacque l'Impressionismo?
1,177,Cosa è un bassorilievo?
2,177,Quale scultura greca è considerata il simbolo della bellezza ideale maschile?
3,177,Cosa è la policromia nella scultura antica?
4,177,Quale stile scultoreo romano è caratterizzato da ritratti realistici dei defunti?
1,178,Cosa è il curtain wall nell'architettura moderna?
2,178,Quale principio caratterizza l'architettura di Le Corbusier?
3,178,Cosa è il Bauhaus?
4,178,Cosa è il Movimento Moderno in architettura?
5,178,Chi progettò la Casa sulla Cascata (Fallingwater)?
1,179,Cosa è il prototipo nel processo di design industriale?
2,179,Cosa è il design 'form follows function'?
3,179,Chi è Dieter Rams?
1,180,Cosa è la fotografia in bianco e nero a colori?
2,180,Cosa è la regola dei terzi nella composizione fotografica?
3,180,Cosa è l'ISO nella fotografia digitale?
1,181,Chi diresse 'Quarto potere' (Citizen Kane)?
2,181,Cosa è il cinema verité?
3,181,Cosa è il montaggio nel cinema?
1,182,Quale scrittore messicano è noto per il romanzo 'Pedro Páramo'?
2,182,Chi è Jorge Luis Borges?
3,182,Cosa è il 'Boom latinoamericano'?
4,182,Chi scrisse 'Cent'anni di solitudine'?
1,183,Chi scrisse 'L'Allegria' (ex 'Il Porto Sepolto')?
2,183,Cosa è la 'Beat Generation' in poesia?
